bikepoint_id,terminal_name,station_name,lat,lon,capacity,installed,locked,temporary,terminal_num
1,001023,"River Street , Clerkenwell",51.529163,-0.10997,19,true,false,false,1023
2,001018,"Phillimore Gardens, Kensington",51.499606,-0.197574,37,true,false,false,1018
3,001012,"Christopher Street, Liverpool Street",51.521283,-0.084605,32,true,false,false,1012
4,001013,"St. Chad's Street, King's Cross",51.530059,-0.120973,23,true,false,false,1013
5,003420,"Sedding Street, Sloane Square",51.49313,-0.156876,27,true,false,false,3420
6,003424,"Broadcasting House, Marylebone",51.518117,-0.144228,18,true,false,false,3424
7,003422,"Charlbert Street, St. John's Wood",51.5343,-0.168074,16,true,false,false,3422
8,003423,"Maida Vale, Maida Vale",51.529857,-0.183486,39,true,false,false,3423
9,001015,"New Globe Walk, Bankside",51.507385,-0.09644,19,true,false,false,1015
10,001024,"Park Street, Bankside",51.505974,-0.092754,18,true,false,false,1024
11,001022,"Brunswick Square, Bloomsbury",51.523951,-0.122502,24,true,false,false,1022
12,000980,"Malet Street, Bloomsbury",51.52168,-0.130431,49,true,false,false,980
13,000970,"Scala Street, Fitzrovia",51.519914,-0.136039,21,true,false,false,970
14,001011,"Argyle Street, Kings Cross",51.529416,-0.123944,45,true,false,false,1011
15,000988,"Great Russell Street, Bloomsbury",51.517727,-0.127854,26,true,false,false,988
16,001010,"Cartwright Gardens , Bloomsbury",51.526357,-0.125979,21,true,false,false,1010
17,001008,"Hatton Wall, Holborn",51.521661,-0.109006,26,true,false,false,1008
18,001007,"Drury Lane, Covent Garden",51.51477,-0.122219,27,true,false,false,1007
19,001009,"Taviton Street, Bloomsbury",51.52505,-0.131161,30,true,false,false,1009
20,000993,"Drummond Street , Euston",51.527326,-0.136052,28,true,false,false,993
21,003426,"Lansdowne Drive, Hackney Central",51.539834,-0.062806,26,true,false,false,3426
22,003425,"Northington Street , Holborn",51.522264,-0.114079,19,true,false,false,3425
23,003421,"Red Lion Square, Holborn",51.519435,-0.119123,16,true,false,false,3421
24,000981,"British Museum, Bloomsbury",51.51908,-0.124678,35,true,false,false,981
25,001004,"Doric Way , Somers Town",51.528833,-0.13225,50,true,false,false,1004
26,001019,"Ampton Street , Clerkenwell",51.52728,-0.118295,21,true,false,false,1019
